failure_category,short_reason,failures,affected_projects
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],2277,43
OTHER,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] Malformed POM /home/cpaiva/repos/apache/activemq/pom.xml: Expected root element 'project' but found 'model' (position: START_TAG seen <model>... @1:8)  @ /home/cpaiva/repos/apache/activemq/pom.xml, line 1, column 8",52,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'modelVersion' is missing. @ [unknown-group-id]:[unknown-artifact-id]:[unknown-version] | [ERROR] 'groupId' is missing. @ [unknown-group-id]:[unknown-artifact-id]:[unknown-version],51,1
BLOCKED_HTTP_REPOSITORY,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Could not find goal 'tree' in plugin org.apache.maven.plugins:maven-dependency-plugin:2.0-alpha-4 among available goals analyze-dep-mgt, analyze, build-classpath, copy-dependencies, copy, unpack, purge-local-repository, go-offline, resolve, sources, resolve-plugins, unpack-dependencies -> [Help 1] | [ERROR]",51,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project drill-common: Could not collect dependencies for project org.apache.drill:drill-common:jar:1.0.0-m2-incubating-SNAPSHOT | [ERROR] Failed to read artifact descriptor for net.hydromatic:optiq-core:jar:0.7-SNAPSHOT,50,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-core: Could not collect dependencies for project org.apache.activemq:activemq-core:bundle:5.6-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.activemq:activeio-core:jar:3.2-SNAPSHOT,49,1
DNS_OR_HOST_ERROR,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-generator: Could not collect dependencies for project org.apache.activemq:activemq-openwire-generator:jar:6.2.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.ant:ant-junit:jar:1.10.15,49,1
MAVEN_GOAL_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:2.7:tree (default-cli) on project presto-root: Execution default-cli of goal org.apache.maven.plugins:maven-dependency-plugin:2.7:tree failed: A required class was missing while executing org.apache.maven.plugins:maven-dependency-plugin:2.7:tree: org/sonatype/aether/graph/DependencyNode | [ERROR] -----------------------------------------------------,49,1
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 3 projects -> [Help 1],48,8
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.1.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.1.0-SNAPSHOT (compile),48,1
OTHER,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],47,26
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-core: Could not collect dependencies for project org.apache.activemq:activemq-core:bundle:5.3-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.activemq.protobuf:activemq-protobuf:jar:1.0-SNAPSHOT,47,1
