Name,Support,Line Count,Lines,Bindings
Oracle -> InCassandra -> Cassandra & OutOracle,0.00851063829787234,2,161; 60,X = Oracle; Y = Cassandra
Oracle -> InRedis -> Redis & OutOracle,0.00851063829787234,2,48; 138,X = Oracle; Y = Redis
DynamoDB -> InMongoDB -> MongoDB & OutDynamoDB,0.00425531914893617,1,70,X = DynamoDB; Y = MongoDB
CouchDB -> InH2 -> H2 & OutCouchDB,0.00425531914893617,1,77,X = CouchDB; Y = H2
MySQL -> InDynamoDB -> DynamoDB & OutMySQL,0.00425531914893617,1,44,X = MySQL; Y = DynamoDB
DynamoDB -> InMySQL -> MySQL & OutDynamoDB,0.00425531914893617,1,70,X = DynamoDB; Y = MySQL
H2 -> InDynamoDB -> DynamoDB & OutH2,0.00425531914893617,1,73,X = H2; Y = DynamoDB
PostGIS -> InOracle -> Oracle & OutPostGIS,0.00425531914893617,1,100,X = PostGIS; Y = Oracle
PostgreSQL -> InDynamoDB -> DynamoDB & OutPostgreSQL,0.00851063829787234,2,60; 135,X = PostgreSQL; Y = DynamoDB
Oracle -> InDynamoDB -> DynamoDB & OutOracle,0.00425531914893617,1,60,X = Oracle; Y = DynamoDB
Cassandra -> InHazelcast -> Hazelcast & OutCassandra,0.00425531914893617,1,60,X = Cassandra; Y = Hazelcast
Cassandra -> InDynamoDB -> DynamoDB & OutCassandra,0.00425531914893617,1,48,X = Cassandra; Y = DynamoDB
Cassandra -> InH2 -> H2 & OutCassandra,0.00425531914893617,1,48,X = Cassandra; Y = H2
Hazelcast -> InHBase -> HBase & OutHazelcast,0.00425531914893617,1,46,X = Hazelcast; Y = HBase
DynamoDB -> InCassandra -> Cassandra & OutDynamoDB,0.00425531914893617,1,70,X = DynamoDB; Y = Cassandra
H2 -> InCassandra -> Cassandra & OutH2,0.00425531914893617,1,73,X = H2; Y = Cassandra
H2 -> InHBase -> HBase & OutH2,0.00425531914893617,1,207,X = H2; Y = HBase
HBase -> InCassandra -> Cassandra & OutHBase,0.00425531914893617,1,44,X = HBase; Y = Cassandra
HBase -> InH2 -> H2 & OutHBase,0.01276595744680851,3,44; 69; 39,X = HBase; Y = H2
MySQL -> InGoogleCloudDatastore -> GoogleCloudDatastore & OutMySQL,0.00425531914893617,1,44,X = MySQL; Y = GoogleCloudDatastore
GoogleCloudDatastore -> InDynamoDB -> DynamoDB & OutGoogleCloudDatastore,0.00851063829787234,2,44; 135,X = GoogleCloudDatastore; Y = DynamoDB
MongoDB -> InGoogleCloudDatastore -> GoogleCloudDatastore & OutMongoDB,0.00425531914893617,1,182,X = MongoDB; Y = GoogleCloudDatastore
GoogleCloudDatastore -> InMongoDB -> MongoDB & OutGoogleCloudDatastore,0.00851063829787234,2,44; 135,X = GoogleCloudDatastore; Y = MongoDB
DynamoDB -> InHyperSQL -> HyperSQL & OutDynamoDB,0.00425531914893617,1,70,X = DynamoDB; Y = HyperSQL
HyperSQL -> InDynamoDB -> DynamoDB & OutHyperSQL,0.00851063829787234,2,44; 135,X = HyperSQL; Y = DynamoDB
SQLite -> InPostgreSQL -> PostgreSQL & OutSQLite,0.00425531914893617,1,173,X = SQLite; Y = PostgreSQL
SQLite -> InOracle -> Oracle & OutSQLite,0.00425531914893617,1,39,X = SQLite; Y = Oracle
Oracle -> InSQLite -> SQLite & OutOracle,0.00425531914893617,1,233,X = Oracle; Y = SQLite
Informix -> InMySQL -> MySQL & OutInformix,0.00425531914893617,1,116,X = Informix; Y = MySQL
Informix -> InRedis -> Redis & OutInformix,0.00425531914893617,1,116,X = Informix; Y = Redis
Informix -> InMS_SQL_Server -> MS_SQL_Server & OutInformix,0.00425531914893617,1,27,X = Informix; Y = MS_SQL_Server
Informix -> InPostgreSQL -> PostgreSQL & OutInformix,0.00425531914893617,1,116,X = Informix; Y = PostgreSQL
Informix -> InOracle -> Oracle & OutInformix,0.00425531914893617,1,116,X = Informix; Y = Oracle
MySQL -> InMarkLogic -> MarkLogic & OutMySQL,0.00425531914893617,1,214,X = MySQL; Y = MarkLogic
MarkLogic -> InMS_SQL_Server -> MS_SQL_Server & OutMarkLogic,0.00425531914893617,1,149,X = MarkLogic; Y = MS_SQL_Server
MarkLogic -> InPostgreSQL -> PostgreSQL & OutMarkLogic,0.00425531914893617,1,149,X = MarkLogic; Y = PostgreSQL
MarkLogic -> InOracle -> Oracle & OutMarkLogic,0.00425531914893617,1,149,X = MarkLogic; Y = Oracle
H2 -> InSQLite -> SQLite & OutH2,0.00425531914893617,1,196,X = H2; Y = SQLite
