project_id,project,db,interval_start,interval_end,days,period,active_segments,active_files,active_versions,cves
9,iotdb,H2,2023-10-17 00:00:00+00:00,2024-12-17 00:00:00+00:00,427.0,post_resolution,1,9,1,CVE-2022-45868
10,skywalking,H2,2016-07-22 00:00:00+00:00,2017-07-17 00:00:00+00:00,360.0,pre_disclosure,1,3,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2017-07-17 00:00:00+00:00,2018-07-24 13:29:00.603000+00:00,372.5618125347222,pre_disclosure,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2018-07-24 13:29:00.603000+00:00,2019-02-22 14:41:59+00:00,213.0506758912037,post_disclosure,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2019-02-22 14:41:59+00:00,2022-01-04 20:53:00+00:00,1047.257650462963,post_resolution,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2022-01-04 20:53:00+00:00,2022-01-06 23:55:09+00:00,2.1264930555555557,post_resolution,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2022-01-06 23:55:09+00:00,2022-01-17 16:18:52+00:00,10.683136574074075,post_resolution,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2022-01-17 16:18:52+00:00,2022-01-21 23:07:39+00:00,4.283877314814815,post_resolution,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2022-01-21 23:07:39+00:00,2022-03-02 00:00:00+00:00,39.03635416666667,post_resolution,2,33,2,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
10,skywalking,H2,2022-03-02 00:00:00+00:00,2022-05-04 00:00:00+00:00,63.0,pre_disclosure,1,7,1,CVE-2022-45868
10,skywalking,H2,2022-05-04 00:00:00+00:00,2022-11-23 21:30:31+00:00,203.89619212962964,pre_disclosure,1,8,1,CVE-2022-45868
10,skywalking,H2,2022-11-23 21:30:31+00:00,2023-07-05 14:57:30+00:00,223.72707175925925,post_disclosure,1,8,1,CVE-2022-45868
10,skywalking,H2,2023-07-05 14:57:30+00:00,2024-12-23 00:00:00+00:00,536.3767361111111,post_resolution,1,8,1,CVE-2022-45868
10,skywalking,MySQL,2016-04-03 00:00:00+00:00,2016-11-30 00:00:00+00:00,241.0,pre_disclosure,3,7,3,CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
10,skywalking,MySQL,2016-11-30 00:00:00+00:00,2017-02-14 20:27:59+00:00,76.85276620370371,pre_disclosure,2,5,2,CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
10,skywalking,MySQL,2017-02-14 20:27:59+00:00,2017-02-17 00:00:00+00:00,2.1472337962962964,post_resolution,2,5,2,CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
