project_id,project,db,usage_segment_id,files,n_files,version,interval_start,interval_end,days,period,cves,stop_reason
17,commafeed,PostgreSQL,392,commafeed,1,42.3.2,2022-03-10 17:47:45.810000+00:00,2022-03-22 00:00:00+00:00,11.258497569444444,post_resolution,CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
17,commafeed,PostgreSQL,393,commafeed,1,42.3.3,2022-03-22 00:00:00+00:00,2022-08-03 19:15:08.630000+00:00,134.8021832175926,pre_disclosure,CVE-2022-31197; CVE-2022-41946; CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,393,commafeed,1,42.3.3,2022-08-03 19:15:08.630000+00:00,2022-08-06 00:00:00+00:00,2.1978167824074073,post_disclosure,CVE-2022-31197; CVE-2022-41946; CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,394,commafeed; commafeed-server,1,42.4.1,2022-08-06 00:00:00+00:00,2023-04-29 00:00:00+00:00,266.0,pre_disclosure,CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,395,commafeed-server,1,42.6.0,2023-04-29 00:00:00+00:00,2023-12-18 00:00:00+00:00,233.0,pre_disclosure,CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,396,commafeed-server,1,42.7.1,2023-12-17 00:00:00+00:00,2024-02-19 13:15:07.740000+00:00,64.55217291666666,pre_disclosure,CVE-2024-1597; CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,396,commafeed-server,1,42.7.1,2024-02-19 13:15:07.740000+00:00,2024-02-21 00:00:00+00:00,1.4478270833333333,post_disclosure,CVE-2024-1597; CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,397,commafeed-server,1,42.7.2,2024-02-21 00:00:00+00:00,2024-04-14 00:00:00+00:00,53.0,pre_disclosure,CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,398,commafeed-server,1,42.7.3,2024-04-01 00:00:00+00:00,2024-08-30 00:00:00+00:00,151.0,pre_disclosure,CVE-2026-42198,version_changed
17,commafeed,PostgreSQL,399,commafeed-server,1,42.7.4,2024-08-28 00:00:00+00:00,2024-09-13 00:00:00+00:00,16.0,pre_disclosure,CVE-2025-49146; CVE-2026-42198,right_censored_no_later_version
17,commafeed,Redis,400,commafeed,1,2.0.0,2013-06-29 00:00:00+00:00,2013-07-07 00:00:00+00:00,8.0,pre_disclosure,CVE-2023-42809,version_changed
17,commafeed,Redis,401,commafeed,1,2.1.0,2013-07-02 00:00:00+00:00,2013-10-10 00:00:00+00:00,100.0,pre_disclosure,CVE-2023-42809,version_changed
17,commafeed,Redis,402,commafeed,1,2.2.1,2013-09-25 00:00:00+00:00,2014-08-12 00:00:00+00:00,321.0,pre_disclosure,CVE-2023-42809,version_changed
19,AxonFramework,HyperSQL,4137,axon-core; axon-core; axon-integrationtests; axon-jpa,2,1.8.0.10,2010-03-09 00:00:00+00:00,2012-11-20 00:00:00+00:00,987.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4138,axon-core; axon-integrationtests; axon-integrationtests,2,2.2.8,2012-11-20 00:00:00+00:00,2016-11-11 00:00:00+00:00,1452.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4139,axon-core,1,2.2.9,2014-01-17 00:00:00+00:00,2014-03-02 00:00:00+00:00,44.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4140,axon-core; axon-core; axon-spring,2,2.3.1,2014-03-02 00:00:00+00:00,2016-06-21 00:00:00+00:00,842.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4141,axon-quickstart; axon-spring-boot-autoconfigure,1,2.3.3,2016-05-30 00:00:00+00:00,2019-03-05 00:00:00+00:00,1009.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4142,axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure; axon-core; axon-integrationtests; axon-quickstart; axon-spring; axon-core; axon-integrationtests; axon-spring; axon-core; axon-spring,7,2.3.4,2016-06-10 00:00:00+00:00,2019-10-02 00:00:00+00:00,1209.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4143,axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure,7,2.5.0,2019-10-02 00:00:00+00:00,2021-10-04 00:00:00+00:00,733.0,pre_disclosure,CVE-2022-41853,version_changed
19,AxonFramework,HyperSQL,4144,axon-configuration; axon-configuration-jakarta; axon-eventsourcing; axon-eventsourcing-jakarta; axon-integrationtests; axon-integrationtests-jakarta; axon-messaging; axon-messaging-jakarta; axon-modelling; axon-modelling-jakarta; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-hibernate-6-integrationtests; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure; axon-configuration; axon-eventsourcing; axon-integrationtests; axon-messaging; axon-modelling; axon-spring; axon-spring-boot-autoconfigure,12,2.5.2,2021-10-01 00:00:00+00:00,2022-10-06 18:17:07.190000+00:00,370.76188877314814,pre_disclosure,CVE-2022-41853,version_changed
