owner,name,repo_path,has_root_pom,root_pom_path,xml_decl_found,xml_has_bom,xml_has_bytes_before_decl,xml_preamble_preview,root_pom_has_file_tag,root_pom_file_tag_count,erro_no_caminho
geotools,geotools,/home/camila/repos/geotools/geotools,True,/home/camila/repos/geotools/geotools/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
gephi,gephi,/home/camila/repos/gephi/gephi,True,/home/camila/repos/gephi/gephi/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
GeyserMC,Geyser,/home/camila/repos/GeyserMC/Geyser,False,,False,False,False,,False,0,False
gocd,gocd,/home/camila/repos/gocd/gocd,False,,False,False,False,,False,0,False
google,auto,/home/camila/repos/google/auto,True,/home/camila/repos/google/auto/build-pom.xml,False,False,False,b'<!-- A pure convenience for local builds',False,0,False
google,truth,/home/camila/repos/google/truth,True,/home/camila/repos/google/truth/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
google,gson,/home/camila/repos/google/gson,True,/home/camila/repos/google/gson/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
google,guice,/home/camila/repos/google/guice,True,/home/camila/repos/google/guice/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",False,0,False
google,copybara,/home/camila/repos/google/copybara,False,,False,False,False,,False,0,False
google,nomulus,/home/camila/repos/google/nomulus,False,,False,False,False,,False,0,False
google,error-prone,/home/camila/repos/google/error-prone,True,/home/camila/repos/google/error-prone/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
google,j2objc,/home/camila/repos/google/j2objc,False,,False,False,False,,False,0,False
google,guava,/home/camila/repos/google/guava,True,/home/camila/repos/google/guava/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
google,closure-compiler,/home/camila/repos/google/closure-compiler,False,,False,False,False,,False,0,False
googleapis,google-http-java-client,/home/camila/repos/googleapis/google-http-java-client,True,/home/camila/repos/googleapis/google-http-java-client/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,1,False
googleapis,google-api-java-client,/home/camila/repos/googleapis/google-api-java-client,True,/home/camila/repos/googleapis/google-api-java-client/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,1,False
googleapis,google-cloud-java,/home/camila/repos/googleapis/google-cloud-java,True,/home/camila/repos/googleapis/google-cloud-java/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
