owner,name,repo_path,module,status,detail,rel_path,abs_path,depth,nearest_declared_ancestor
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-model,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-bpmn-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-model/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-process-extensions,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-process-extensions/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-process-extensions/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-app-process,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-app-process/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-app-process/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api,undeclared-with-parent,POM não listado em <modules>,activiti-api/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/pom.xml,0,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-runtime-shared,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-runtime-shared/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-runtime-shared/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-model-shared,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-model-shared/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-model-shared/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-process-runtime,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-process-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-process-runtime/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-dependencies,undeclared-parent-mismatch(child=org.activiti:activiti-api vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-dependencies/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-task-runtime,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-task-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-task-runtime/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-process-model,undeclared-parent-mismatch(child=org.activiti:activiti-api-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-api/activiti-api-process-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-process-model/pom.xml,1,
