owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
java-json-tools,json-schema-validator,/home/camila/repos/java-json-tools/json-schema-validator,False,0,0,0,0,0.000
java-native-access,jna,/home/camila/repos/java-native-access/jna,False,0,0,0,0,0.000
javamelody,javamelody,/home/camila/repos/javamelody/javamelody,True,9,2,7,0,0.222
javaparser,javaparser,/home/camila/repos/javaparser/javaparser,True,8,8,0,0,1.000
jdbi,jdbi,/home/camila/repos/jdbi/jdbi,True,32,31,1,1,0.969
jenkinsci,gitlab-plugin,/home/camila/repos/jenkinsci/gitlab-plugin,True,0,0,0,0,0.000
jenkinsci,kubernetes-plugin,/home/camila/repos/jenkinsci/kubernetes-plugin,True,0,0,0,0,0.000
jenkinsci,blueocean-plugin,/home/camila/repos/jenkinsci/blueocean-plugin,True,21,21,0,0,1.000
jenkinsci,jenkins,/home/camila/repos/jenkinsci/jenkins,True,8,6,2,0,0.750
jeremylong,DependencyCheck,/home/camila/repos/jeremylong/DependencyCheck,True,6,6,0,0,1.000
JetBrains,intellij-plugins,/home/camila/repos/JetBrains/intellij-plugins,False,0,0,0,0,0.000
jhy,jsoup,/home/camila/repos/jhy/jsoup,True,0,0,0,0,0.000
jindrapetrik,jpexs-decompiler,/home/camila/repos/jindrapetrik/jpexs-decompiler,False,0,0,0,0,0.000
jitsi,jitsi,/home/camila/repos/jitsi/jitsi,True,6,0,6,0,0.000
