owner,name,repo_path,module_dir,pom_path_rel,pom_path_abs,groupId,artifactId,version,packaging,spring_boot_plugin,is_deployable,deployable_reason,is_excluded
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals/pom.xml,org.activiti,activiti-spring-conformance-signals,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0/pom.xml,org.activiti,activiti-spring-conformance-set0,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-image-generator,activiti-core/activiti-image-generator/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-image-generator/pom.xml,org.activiti,activiti-image-generator,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-engine,activiti-core/activiti-engine/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-engine/pom.xml,org.activiti,activiti-engine,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-converter,activiti-core/activiti-bpmn-converter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-converter/pom.xml,org.activiti,activiti-bpmn-converter,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-model,activiti-core/activiti-bpmn-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-model/pom.xml,org.activiti,activiti-bpmn-model,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-process-extensions,activiti-core/activiti-spring-process-extensions/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-process-extensions/pom.xml,org.activiti,activiti-spring-process-extensions,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-app-process,activiti-core/activiti-spring-app-process/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-app-process/pom.xml,org.activiti,activiti-spring-app-process,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api,activiti-api/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/pom.xml,org.activiti,activiti-api,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-runtime-shared,activiti-api/activiti-api-runtime-shared/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-runtime-shared/pom.xml,org.activiti,activiti-api-runtime-shared,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-model-shared,activiti-api/activiti-api-model-shared/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-model-shared/pom.xml,org.activiti,activiti-api-model-shared,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-process-runtime,activiti-api/activiti-api-process-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-process-runtime/pom.xml,org.activiti,activiti-api-process-runtime,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-dependencies,activiti-api/activiti-api-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-dependencies/pom.xml,org.activiti,activiti-api-dependencies,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-task-runtime,activiti-api/activiti-api-task-runtime/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-task-runtime/pom.xml,org.activiti,activiti-api-task-runtime,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-process-model,activiti-api/activiti-api-process-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-process-model/pom.xml,org.activiti,activiti-api-process-model,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-api/activiti-api-task-model,activiti-api/activiti-api-task-model/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-api/activiti-api-task-model/pom.xml,org.activiti,activiti-api-task-model,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-dependency-check,activiti-dependency-check/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-dependency-check/pom.xml,org.activiti,activiti-dependency-check,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-dependencies,activiti-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-dependencies/pom.xml,org.activiti,activiti-dependencies,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,.,pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/pom.xml,com.alibaba.cloud,spring-cloud-alibaba,${revision},pom,False,False,packaging=pom,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-coverage,spring-cloud-alibaba-coverage/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-coverage/pom.xml,com.alibaba.cloud,spring-cloud-alibaba-coverage,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters,spring-cloud-alibaba-starters/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/pom.xml,com.alibaba.cloud,spring-cloud-alibaba-starters,${revision},pom,False,False,packaging=pom,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sentinel/pom.xml,com.alibaba.cloud,spring-cloud-starter-alibaba-sentinel,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-sidecar/pom.xml,com.alibaba.cloud,spring-cloud-starter-alibaba-sidecar,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config,spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-nacos-config/pom.xml,com.alibaba.cloud,spring-cloud-starter-alibaba-nacos-config,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel,spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-circuitbreaker-sentinel/pom.xml,com.alibaba.cloud,spring-cloud-circuitbreaker-sentinel,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq,spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-bus-rocketmq/pom.xml,com.alibaba.cloud,spring-cloud-starter-bus-rocketmq,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-alibaba-commons,spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/pom.xml,com.alibaba.cloud,spring-cloud-alibaba-commons,${revision},jar,False,True,packaging=jar,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,spring-cloud-alibaba-starters/spring-cloud-starter-stream-rocketmq,spring-cloud-alibaba-starters/spring-cloud-starter-stream-rocketmq/pom.xml,/home/camila/repos/alibaba/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-stream-rocketmq/pom.xml,com.alibaba.cloud,spring-cloud-starter-stream-rocketmq,${revision},jar,False,True,packaging=jar,False
