owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
flyingsaucerproject,flyingsaucer,/home/camila/repos/flyingsaucerproject/flyingsaucer,MULTIPROJETOS,False,False,False,9,270
flyway,flyway,/home/camila/repos/flyway/flyway,MULTIPROJETOS,False,False,False,32,746
fossasia,pslab-android,/home/camila/repos/fossasia/pslab-android,DESCONHECIDO,False,False,False,0,0
geoserver,geoserver,/home/camila/repos/geoserver/geoserver,MULTIPROJETOS,False,False,False,284,2856
geotools,geotools,/home/camila/repos/geotools/geotools,MULTIPROJETOS,False,False,False,177,1883
gephi,gephi,/home/camila/repos/gephi/gephi,MULTIPROJETOS,False,False,False,66,548
GeyserMC,Geyser,/home/camila/repos/GeyserMC/Geyser,MULTIPROJETOS,True,False,False,0,0
gocd,gocd,/home/camila/repos/gocd/gocd,MULTIPROJETOS,True,False,False,0,0
google,auto,/home/camila/repos/google/auto,MULTIPROJETOS,False,False,False,11,742
google,truth,/home/camila/repos/google/truth,MULTIPROJETOS,False,False,False,7,516
google,gson,/home/camila/repos/google/gson,MULTIPROJETOS,False,False,False,8,606
google,guice,/home/camila/repos/google/guice,MULTIPROJETOS,False,False,False,16,199
google,copybara,/home/camila/repos/google/copybara,DESCONHECIDO,False,False,False,0,0
google,nomulus,/home/camila/repos/google/nomulus,MULTIPROJETOS,True,False,False,0,0
google,error-prone,/home/camila/repos/google/error-prone,MULTIPROJETOS,False,False,False,10,506
google,j2objc,/home/camila/repos/google/j2objc,MULTIPROJETOS,False,False,False,2,102
google,guava,/home/camila/repos/google/guava,MULTIPROJETOS,False,False,False,14,468
google,closure-compiler,/home/camila/repos/google/closure-compiler,SINGLE_REPO,False,False,False,0,0
googleapis,google-http-java-client,/home/camila/repos/googleapis/google-http-java-client,MULTIPROJETOS,False,False,False,21,905
googleapis,google-api-java-client,/home/camila/repos/googleapis/google-api-java-client,MULTIPROJETOS,False,False,False,16,1125
googleapis,google-cloud-java,/home/camila/repos/googleapis/google-cloud-java,MULTIPROJETOS,False,False,False,1201,28146
GoogleContainerTools,jib,/home/camila/repos/GoogleContainerTools/jib,MULTIPROJETOS,True,False,False,21,95
graphhopper,jsprit,/home/camila/repos/graphhopper/jsprit,MULTIPROJETOS,False,False,False,3,175
graphhopper,graphhopper,/home/camila/repos/graphhopper/graphhopper,MULTIPROJETOS,False,False,False,11,642
graphql-java,graphql-java,/home/camila/repos/graphql-java/graphql-java,MULTIPROJETOS,True,False,False,0,0
Graylog2,graylog2-server,/home/camila/repos/Graylog2/graylog2-server,MULTIPROJETOS,False,False,False,12,2864
grpc,grpc-java,/home/camila/repos/grpc/grpc-java,MULTIPROJETOS,True,False,False,8,546
gsantner,markor,/home/camila/repos/gsantner/markor,MULTIPROJETOS,True,False,False,0,0
haifengl,smile,/home/camila/repos/haifengl/smile,MULTIPROJETOS,False,False,False,0,0
hapifhir,hapi-fhir,/home/camila/repos/hapifhir/hapi-fhir,MULTIPROJETOS,False,False,False,80,2192
haraldk,TwelveMonkeys,/home/camila/repos/haraldk/TwelveMonkeys,MULTIPROJETOS,False,False,False,34,375
hawtio,hawtio,/home/camila/repos/hawtio/hawtio,MULTIPROJETOS,False,False,False,33,1669
hcoles,pitest,/home/camila/repos/hcoles/pitest,MULTIPROJETOS,False,False,False,44,466
hneemann,Digital,/home/camila/repos/hneemann/Digital,SINGLE_REPO,False,False,False,1,64
i2p,i2p.i2p,/home/camila/repos/i2p/i2p.i2p,MULTIPROJETOS,True,False,False,0,0
iBotPeaches,Apktool,/home/camila/repos/iBotPeaches/Apktool,MULTIPROJETOS,True,False,False,0,0
igniterealtime,Smack,/home/camila/repos/igniterealtime/Smack,MULTIPROJETOS,True,False,False,0,0
igniterealtime,Openfire,/home/camila/repos/igniterealtime/Openfire,MULTIPROJETOS,False,False,False,8,402
iluwatar,java-design-patterns,/home/camila/repos/iluwatar/java-design-patterns,MULTIPROJETOS,False,False,False,171,668
immutables,immutables,/home/camila/repos/immutables/immutables,MULTIPROJETOS,False,False,False,33,582
INRIA,spoon,/home/camila/repos/INRIA/spoon,MULTIPROJETOS,False,False,False,35,826
internetarchive,heritrix3,/home/camila/repos/internetarchive/heritrix3,MULTIPROJETOS,False,False,False,5,225
iterate-ch,cyberduck,/home/camila/repos/iterate-ch/cyberduck,MULTIPROJETOS,False,False,False,58,2454
itext,itextpdf,/home/camila/repos/itext/itextpdf,MULTIPROJETOS,False,False,False,5,242
JabRef,jabref,/home/camila/repos/JabRef/jabref,SINGLE_REPO,False,False,False,0,0
jacoco,jacoco,/home/camila/repos/jacoco/jacoco,MULTIPROJETOS,False,False,False,71,481
jankotek,mapdb,/home/camila/repos/jankotek/mapdb,SINGLE_REPO,False,False,False,1,352
JanusGraph,janusgraph,/home/camila/repos/JanusGraph/janusgraph,MULTIPROJETOS,False,False,False,31,1519
java-json-tools,json-schema-validator,/home/camila/repos/java-json-tools/json-schema-validator,SINGLE_REPO,False,False,False,0,0
java-native-access,jna,/home/camila/repos/java-native-access/jna,DESCONHECIDO,False,False,False,0,0
javamelody,javamelody,/home/camila/repos/javamelody/javamelody,MULTIPROJETOS,False,False,False,11,711
javaparser,javaparser,/home/camila/repos/javaparser/javaparser,MULTIPROJETOS,False,False,False,9,1017
jdbi,jdbi,/home/camila/repos/jdbi/jdbi,MULTIPROJETOS,False,False,False,41,1130
jenkinsci,gitlab-plugin,/home/camila/repos/jenkinsci/gitlab-plugin,SINGLE_REPO,False,False,False,1,644
jenkinsci,kubernetes-plugin,/home/camila/repos/jenkinsci/kubernetes-plugin,SINGLE_REPO,False,False,False,1,906
jenkinsci,blueocean-plugin,/home/camila/repos/jenkinsci/blueocean-plugin,MULTIPROJETOS,False,False,False,28,1053
jenkinsci,jenkins,/home/camila/repos/jenkinsci/jenkins,MULTIPROJETOS,False,False,False,9,6195
jeremylong,DependencyCheck,/home/camila/repos/jeremylong/DependencyCheck,MULTIPROJETOS,False,False,False,69,1618
JetBrains,intellij-plugins,/home/camila/repos/JetBrains/intellij-plugins,MULTIPROJETOS,False,False,False,9,3
